Date,Interbank Call Loan Rate,Real GDP,CPI,Wholesale Price,Industrial Production,Intl Trade Merch Exports,Intl Trade Merch Imports,FX Rate,Real GDP_yoy_pct,CPI_yoy_pct,Wholesale Price_yoy_pct,Industrial Production_yoy_pct,Intl Trade Merch Exports_yoy_pct,Intl Trade Merch Imports_yoy_pct,FX Rate_yoy_pct
2015-02-01,2.560679411764706,3481.796387,91.080948,106.300003,77.894814,194256.484375,252496.90625,44.221368421052624,-6.470911072523034,-0.7434908628239922,-0.654202803738313,2.0734048107895697,-3.9291600117240866,-22.150527460726245,-7.168379579399097
2015-03-01,2.5181184210526317,3481.796387,91.166229,107.099998,74.075829,199569.84375,236595.984375,44.44572727272729,-6.470911072523034,-0.46554725207383907,-0.18639794446231317,-6.734328124137157,-3.9219711428990722,-12.093691147682595,-4.875925498875022
2015-04-01,2.521340909090909,3481.796387,91.080948,107.199997,83.358124,241670.375,253107.78125,44.41357894736842,-6.470911072523034,-0.5586562657722727,-0.09320223411364292,-0.23241845543117146,9.607601359491348,-18.691210875639786,-4.042268793463133
2015-05-01,2.528005263157895,3853.503906,91.251511,107.400002,76.163902,196955.046875,224448.625,44.6106,-6.924377952499416,-0.6499497868663662,-0.3710584312321408,-6.214222069280872,-0.784108799690697,-29.42654986628851,-4.682860421957402
2015-06-01,2.51565,3853.503906,91.166229,107.599998,79.08519,218487.625,215607.453125,44.983142857142866,-6.924377952499416,-0.9267799057636306,-0.09284958475903604,-3.965415538043937,-3.267815426419818,-34.795336145111655,-3.1880535407180277
2015-07-01,2.510955,3853.503906,91.166229,107.199997,77.716736,241438.484375,267400.96875,45.26490909090909,-6.924377952499416,-1.2927075842731117,-0.6487534634151415,-6.431802714704149,6.584004849373115,-20.58786188826992,-3.810589269628173
2015-08-01,2.516395238095238,3589.387695,91.336792,107.099998,75.457611,243241.453125,310053.46875,46.14200000000001,-6.82923179179854,-1.2903247211718427,-0.6493552694984639,-8.483783088250052,7.97506553951941,-7.976257145682042,-1.1543566129395
2015-09-01,2.521410526315789,3589.387695,91.336792,106.900002,74.753922,237145.5625,285613.71875,46.75042857142858,-6.82923179179854,-1.2903247211718427,-0.8348803107176228,-9.253596027577304,1.0022889249506228,-12.132213362564793,-1.431501671156199
2015-10-01,2.5283190476190476,3589.387695,91.166229,106.800003,78.536514,231829.390625,292386.78125,46.36090909090909,-6.82923179179854,-1.6559346706910283,-1.2938946754314506,-7.066248731008685,-9.024960392932524,-16.65581109886791,-4.110372069882451
2015-11-01,2.5241863636363635,4066.219238,91.251511,106.800003,81.570839,212799.0625,302913.6875,47.006687500000005,-6.4660453909268885,-1.7447189387735484,-2.0183458715596347,-5.950006941549091,-12.585678023993218,-13.685771921254297,-4.370486217068437
