speech_id,date,title,tone_mean,tone_median,pos_share,neg_share,neu_share,n_sent,label_majority
114,2017-09-21,Invisible to Joined Hands,-0.5273493088602416,-0.5173853635787964,0.0,1.0,0.0,116.0,negative
115,2017-09-20,Optimum Navigation,-0.5252595199715524,-0.5181150436401367,0.0,1.0,0.0,100.0,negative
116,2017-09-06,"Sama-sama, Para Walang Maiwan",-0.4469733902311742,-0.4476475119590759,0.0,1.0,0.0,49.0,negative
117,2017-09-04,Sticktoitiveness,-0.531050956321022,-0.5260190963745117,0.0,1.0,0.0,107.0,negative
118,2017-08-30,The Big Picture,-0.5354049588890154,-0.5253704190254211,0.0,1.0,0.0,104.0,negative
119,2017-08-29,Returns,-0.5335988430363552,-0.5330610275268555,0.0,1.0,0.0,79.0,negative
120,2017-08-29,Super...Vision: Foresight in the Era of Digitization,-0.5114724955224869,-0.501124918460846,0.0,1.0,0.0,92.0,negative
121,2017-08-25,Beginning a Meaningful Conversation: First Coordination Dialogue on Developing the Local Debt Market,-0.5213768354885862,-0.5110868215560913,0.0,1.0,0.0,67.0,negative
122,2017-08-22,Truths in Lending,-0.5147568860253376,-0.5009628534317017,0.0,1.0,0.0,100.0,negative
123,2017-07-28,Imagining New Possibilities: Embracing Challenges and Recognizing Opportunities in Microfinance,-0.5104721326102759,-0.507360577583313,0.0,1.0,0.0,111.0,negative
124,2017-07-26,Of Becoming Advocates - Partnering for a Stronger Legal Environment for Banking and Finance,-0.5231095183332224,-0.5172892212867737,0.0,1.0,0.0,114.0,negative
125,2017-07-26,Bangko Sentral Mandates and How They Help Maintain a Stable Business Environment,-0.5252387591534191,-0.5086305141448975,0.0,1.0,0.0,96.0,negative
126,2017-07-26,Building on Built Foundations: Continuity and Change,-0.5223730123389122,-0.5238121747970581,0.0,1.0,0.0,91.0,negative
127,2017-07-14,BSP and BAIPHIL Moving Mountains: New Heights in Banking Excellence,-0.5144425847040299,-0.5082664489746094,0.0,1.0,0.0,93.0,negative
128,2017-07-11,Turning Vision Into Partnership,-0.5245258729765585,-0.5210835337638855,0.0,1.0,0.0,63.0,negative
129,2017-07-10,The Philippines and Japan: Enhancing Strategic Partnership,-0.5277638547469017,-0.52728271484375,0.0,1.0,0.0,57.0,negative
130,2017-07-04,Information Security in Nation Building,-0.5078028827927682,-0.5074930191040039,0.0,1.0,0.0,45.0,negative
131,2017-07-03,Central Banking & Symphonies,-0.5165553984095276,-0.5152251720428467,0.0,1.0,0.0,67.0,negative
132,2017-07-03,Continuing the Voyage of Excellence to a Bright Tomorrow,-0.5196974947233206,-0.5158666372299194,0.0,1.0,0.0,98.0,negative
