window_scheme,horizon_h,model,tone_spec,rmse,naive_rmse,pct_dRMSE_vs_naive
expanding,2,SVR,NEG,0.6738302909997456,0.25687109030369215,-162.3223540660388
expanding,2,SVR,None,0.5980555569228665,0.25687109030369215,-132.8232251499383
expanding,2,SVR,POSNEG,0.7241155939692955,0.25687109030369215,-181.89843906264113
expanding,2,SVR,ToneMean,0.6581888567944334,0.25687109030369215,-156.23313858179736
expanding,3,ElasticNet,NEG,0.9176364996975663,0.37262160625105367,-146.26497344850932
expanding,3,ElasticNet,None,0.916373760835955,0.37262160625105367,-145.92609378065654
expanding,3,ElasticNet,POSNEG,1.0232961182096594,0.37262160625105367,-174.6207146990328
expanding,3,ElasticNet,ToneMean,0.9430704243433371,0.37262160625105367,-153.09064437555554
expanding,3,Lasso,NEG,0.9167656999299123,0.37262160625105367,-146.03127799096058
expanding,3,Lasso,None,0.9160581942405375,0.37262160625105367,-145.84140556340785
expanding,3,Lasso,POSNEG,1.0199781351669421,0.37262160625105367,-173.73027169007807
expanding,3,Lasso,ToneMean,0.9414095220675276,0.37262160625105367,-152.64491008426745
expanding,3,OLS,NEG,0.920717457654979,0.37262160625105367,-147.09180632822617
expanding,3,OLS,None,0.9186719504207222,0.37262160625105367,-146.54285607951766
expanding,3,OLS,POSNEG,1.0263236633902078,0.37262160625105367,-175.43321325782773
expanding,3,OLS,ToneMean,0.9451435576498977,0.37262160625105367,-153.6470085991491
expanding,3,Ridge,NEG,0.9193984701054745,0.37262160625105367,-146.73783126951315
expanding,3,Ridge,None,0.9173932265829192,0.37262160625105367,-146.19968654335784
expanding,3,Ridge,POSNEG,1.026314052994374,0.37262160625105367,-175.4306341277739
expanding,3,Ridge,ToneMean,0.9447968779461526,0.37262160625105367,-153.55397059546678
expanding,3,SVR,NEG,0.6745913176619966,0.37262160625105367,-81.0392382903022
expanding,3,SVR,None,0.5849162494099825,0.37262160625105367,-56.97325104006327
expanding,3,SVR,POSNEG,0.7220850308647754,0.37262160625105367,-93.78506741186415
expanding,3,SVR,ToneMean,0.6598703134293672,0.37262160625105367,-77.08858057596902
expanding,4,ElasticNet,NEG,0.8749790708163446,0.485940954651804,-80.05872162870116
expanding,4,ElasticNet,None,0.8742891628650902,0.485940954651804,-79.91674801140256
expanding,4,ElasticNet,POSNEG,0.9889577954803602,0.485940954651804,-103.51398374911366
expanding,4,ElasticNet,ToneMean,0.9086933174866281,0.485940954651804,-86.99665232738883
expanding,4,Lasso,NEG,0.8748713122103008,0.485940954651804,-80.03654638189137
expanding,4,Lasso,None,0.8740494969736479,0.485940954651804,-79.86742804996526
expanding,4,Lasso,POSNEG,0.9857442078220231,0.485940954651804,-102.85267137616503
expanding,4,Lasso,ToneMean,0.9067028150235579,0.485940954651804,-86.58703415381946
expanding,4,OLS,NEG,0.8778068949810233,0.485940954651804,-80.64064915253064
expanding,4,OLS,None,0.8771652593245618,0.485940954651804,-80.50860931305648
expanding,4,OLS,POSNEG,0.9921833346185782,0.485940954651804,-104.177755573106
expanding,4,OLS,ToneMean,0.9111125651060353,0.485940954651804,-87.49450038819711
