window_scheme,horizon_h,model,tone_spec,n_common,MSFE_none,MSFE_tone,MSFE_gain,CW_stat,CW_p_one_sided,DM_stat,DM_p_two_sided
expanding,4,Lasso,POSNEG,47,0.7639625231598869,0.971691643254668,-0.20772912009478106,-2.256498571708727,0.9879802876729799,-2.997414480574177,0.0027228024076793034
expanding,4,Lasso,ToneMean,47,0.7639625231598869,0.8221099947716443,-0.05814747161175737,-1.980395469113145,0.9761704456585447,-2.3564499064967817,0.018450555979405037
expanding,4,OLS,NEG,47,0.7694188921659257,0.7705449448762252,-0.0011260527102994189,-0.2874066412951746,0.6130995116985951,-0.3341620130004317,0.7382573071964353
expanding,4,OLS,POSNEG,47,0.7694188921659257,0.9844277694948416,-0.21500887732891583,-2.1276801472234514,0.9833181939843527,-2.8581147401204983,0.004261662605655525
expanding,4,OLS,ToneMean,47,0.7694188921659257,0.8301261062940996,-0.060707214128173814,-1.9979050365995858,0.9771365217453032,-2.3736562268739227,0.01761294031189453
expanding,4,Ridge,NEG,47,0.7669596390471737,0.7680670063813505,-0.001107367334176823,-0.26286838014297903,0.6036739857832577,-0.31123269286556726,0.7556237310483385
expanding,4,Ridge,POSNEG,47,0.7669596390471737,0.9843164651169587,-0.21735682606978501,-2.174618330412831,0.9851706352310401,-2.906316120978241,0.0036571177319979498
expanding,4,Ridge,ToneMean,47,0.7669596390471737,0.8294217337787775,-0.0624620947316038,-2.0393145657714427,0.9792906785757367,-2.4152302214715644,0.015725266777447233
expanding,4,SVR,NEG,47,0.32670246460948904,0.41597475696765857,-0.08927229235816952,-1.2828345711505673,0.9002249802707343,-2.286493344492726,0.022225413045813713
expanding,4,SVR,POSNEG,47,0.32670246460948904,0.47259912109283253,-0.1458966564833435,0.30554576091873203,0.37997526148589966,-2.21725863115407,0.026605423084120394
expanding,4,SVR,ToneMean,47,0.32670246460948904,0.40778983932406754,-0.0810873747145785,0.1891887635896756,0.42497243699688325,-1.8366462473601552,0.06626213530829594
expanding,5,ElasticNet,NEG,46,0.6783534864808995,0.6792108160323607,-0.0008573295514611168,-0.21189233292500134,0.5839044838851368,-0.26591783273533004,0.7903024908725689
expanding,5,ElasticNet,POSNEG,46,0.6783534864808995,0.9098660348674962,-0.23151254838659663,-2.123152145269181,0.9831294477144633,-2.9940967242974286,0.002752586680701441
expanding,5,ElasticNet,ToneMean,46,0.6783534864808995,0.7438688487740623,-0.0655153622931628,-2.0614882266928265,0.9803717572356039,-2.589226869705679,0.009619169753589674
expanding,5,Lasso,NEG,46,0.678574972415134,0.6798083148807622,-0.0012333424656282288,-0.4684154578911576,0.6802562420576355,-0.5108452741337937,0.6094594041612247
expanding,5,Lasso,POSNEG,46,0.678574972415134,0.9046947300980347,-0.2261197576829007,-2.1533433256681147,0.984354146930005,-3.0280527044504395,0.002461351557745184
expanding,5,Lasso,ToneMean,46,0.678574972415134,0.7416304188796277,-0.06305544646449368,-2.031237584645543,0.9788845502772127,-2.562158863255461,0.010402372424013873
expanding,5,OLS,NEG,46,0.6825711580624706,0.6830152858722014,-0.0004441278097307988,-0.06283154368010624,0.5250496763694616,-0.12401036411174333,0.9013070690351241
expanding,5,OLS,POSNEG,46,0.6825711580624706,0.9133950883961061,-0.23082393033363546,-1.9540094266541188,0.9746499488099687,-2.824043185987636,0.004742199470781694
expanding,5,OLS,ToneMean,46,0.6825711580624706,0.7469415385016651,-0.06437038043919452,-1.9839356913302724,0.976368495273523,-2.5189390966825886,0.011770901478145968
expanding,5,Ridge,NEG,46,0.6803154082643276,0.6807262681347157,-0.0004108598703881361,-0.046242690938934544,0.5184415917992475,-0.10874860389007694,0.9134018900971013
expanding,5,Ridge,POSNEG,46,0.6803154082643276,0.9132828033409887,-0.2329673950766611,-1.9991868857271764,0.977205931515443,-2.8725418805725913,0.004071841044614555
expanding,5,Ridge,ToneMean,46,0.6803154082643276,0.7464093233400086,-0.06609391507568108,-2.0292378535906783,0.9787829651268278,-2.563531213178465,0.010361338400637132
expanding,5,SVR,NEG,46,0.3046227808905823,0.3862937389348086,-0.0816709580442263,-1.2781857165089974,0.8994080243970521,-2.2753791741016482,0.022883193587971418
expanding,5,SVR,POSNEG,46,0.3046227808905823,0.461266975583726,-0.15664419469314367,0.3042326020004927,0.38047534424182283,-2.3494459760287034,0.018801372263116845
expanding,5,SVR,ToneMean,46,0.3046227808905823,0.3820316422937151,-0.0774088614031328,0.24728094220995905,0.4023454034000168,-2.0129170460374586,0.044123356980462436
expanding,6,ElasticNet,NEG,45,0.5988539948706123,0.5998229879187926,-0.0009689930481803222,-0.8083951427075283,0.7905684263708402,-0.843002767746335,0.39922689586760196
expanding,6,ElasticNet,POSNEG,45,0.5988539948706123,0.8366268100928355,-0.23777281522222316,-1.8364201184109294,0.9668522268156524,-2.8263480890615416,0.004708207005120757
