window_scheme,horizon_h,model,tone_spec,n_common,rmse_none_aligned,rmse_aligned,mae_none_aligned,mae_aligned,pct_dRMSE_vs_none
rolling,4,ElasticNet,NEG,47,0.7006976838821517,0.7010561418016281,0.5759269939844239,0.5749335430101896,-0.05115728619087403
rolling,4,ElasticNet,None,47,0.7006976838821517,0.7006976838821517,0.5759269939844239,0.5759269939844239,
rolling,4,ElasticNet,POSNEG,47,0.7006976838821517,0.6990195358108022,0.5759269939844239,0.5646315098848533,0.2394967344621215
rolling,4,ElasticNet,ToneMean,47,0.7006976838821517,0.6827674966108662,0.5759269939844239,0.5578681101504754,2.55890488633342
rolling,4,Lasso,NEG,47,0.7103239720819382,0.7106483601554648,0.5828080641098471,0.582007634754139,-0.045667622982773104
rolling,4,Lasso,None,47,0.7103239720819382,0.7103239720819382,0.5828080641098471,0.5828080641098471,
rolling,4,Lasso,POSNEG,47,0.7103239720819382,0.7086879700014569,0.5828080641098471,0.5729884191396004,0.23031773455233964
rolling,4,Lasso,ToneMean,47,0.7103239720819382,0.6930452703344239,0.5828080641098471,0.5656114291109028,2.43251001326493
rolling,4,OLS,NEG,47,0.68727539213839,0.6877786843734388,0.5658847615598029,0.5652339214350262,-0.07323006771461922
rolling,4,OLS,None,47,0.68727539213839,0.68727539213839,0.5658847615598029,0.5658847615598029,
rolling,4,OLS,POSNEG,47,0.68727539213839,0.6863644310342724,0.5658847615598029,0.5541988736377838,0.1325467366557713
rolling,4,OLS,ToneMean,47,0.68727539213839,0.6689412645565649,0.5658847615598029,0.5472684014826005,2.66765372244454
rolling,4,Ridge,NEG,47,0.6951871631686506,0.6955345663940236,0.5713998246941754,0.5698503995223937,-0.04997261799103263
rolling,4,Ridge,None,47,0.6951871631686506,0.6951871631686506,0.5713998246941754,0.5713998246941754,
rolling,4,Ridge,POSNEG,47,0.6951871631686506,0.693127898619967,0.5713998246941754,0.5582544820411527,0.29621728619059323
rolling,4,Ridge,ToneMean,47,0.6951871631686506,0.6759143188894935,0.5713998246941754,0.5518526277910171,2.772324533628012
rolling,4,SVR,NEG,47,0.645846879554631,0.6830449168218047,0.4443657234398891,0.4813963122026362,-5.75957528707501
rolling,4,SVR,None,47,0.645846879554631,0.645846879554631,0.4443657234398891,0.4443657234398891,
rolling,4,SVR,POSNEG,47,0.645846879554631,0.7377390644422882,0.4443657234398891,0.5081291994475039,-14.228168904528113
rolling,4,SVR,ToneMean,47,0.645846879554631,0.6772063911165747,0.4443657234398891,0.470018837393657,-4.855564461899822
rolling,5,ElasticNet,NEG,46,0.6934066616739674,0.6946667176170561,0.5699639115487605,0.5693706834269342,-0.1817196189097504
rolling,5,ElasticNet,None,46,0.6934066616739674,0.6934066616739674,0.5699639115487605,0.5699639115487605,
rolling,5,ElasticNet,POSNEG,46,0.6934066616739674,0.6870957542292838,0.5699639115487605,0.5516187081622843,0.9101307780124657
rolling,5,ElasticNet,ToneMean,46,0.6934066616739674,0.6725683829615796,0.5699639115487605,0.5479372414629307,3.0052031317497914
rolling,5,Lasso,NEG,46,0.7057639913776265,0.7072156333097085,0.5792128897515011,0.5785978791557203,-0.20568376253490522
rolling,5,Lasso,None,46,0.7057639913776265,0.7057639913776265,0.5792128897515011,0.5792128897515011,
rolling,5,Lasso,POSNEG,46,0.7057639913776265,0.6989736847558017,0.5792128897515011,0.5611039701388169,0.9621214322043184
rolling,5,Lasso,ToneMean,46,0.7057639913776265,0.6863170407436798,0.5792128897515011,0.5578492884563397,2.7554467033642327
rolling,5,OLS,NEG,46,0.6758313653131245,0.6773477287516982,0.5551912168244459,0.5547873343544284,-0.2243700894040625
rolling,5,OLS,None,46,0.6758313653131245,0.6758313653131245,0.5551912168244459,0.5551912168244459,
rolling,5,OLS,POSNEG,46,0.6758313653131245,0.671643133468705,0.5551912168244459,0.5381483818988384,0.6197155177133633
rolling,5,OLS,ToneMean,46,0.6758313653131245,0.6544102439351933,0.5551912168244459,0.532971008117942,3.169595623607435
rolling,5,Ridge,NEG,46,0.6858186257102784,0.6873387136330579,0.5627982196606552,0.5632177913184406,-0.22164576256662105
rolling,5,Ridge,None,46,0.6858186257102784,0.6858186257102784,0.5627982196606552,0.5627982196606552,
rolling,5,Ridge,POSNEG,46,0.6858186257102784,0.6806317867983483,0.5627982196606552,0.5463561699446305,0.7562989276586402
rolling,5,Ridge,ToneMean,46,0.6858186257102784,0.663479687710156,0.5627982196606552,0.5405826234714751,3.2572661579417987
rolling,5,SVR,NEG,46,0.6228894480937619,0.6643482775041188,0.4503464105325815,0.4866020252845744,-6.655888863944321
rolling,5,SVR,None,46,0.6228894480937619,0.6228894480937619,0.4503464105325815,0.4503464105325815,
rolling,5,SVR,POSNEG,46,0.6228894480937619,0.7223920834433174,0.4503464105325815,0.5149021894029486,-15.974365219071368
rolling,5,SVR,ToneMean,46,0.6228894480937619,0.6595660886874201,0.4503464105325815,0.47897244662918903,-5.888146075664028
rolling,6,ElasticNet,NEG,45,0.6764824484159117,0.6779809240937098,0.5671157075513876,0.5658025935286158,-0.22150991223897423
rolling,6,ElasticNet,None,45,0.6764824484159117,0.6764824484159117,0.5671157075513876,0.5671157075513876,
rolling,6,ElasticNet,POSNEG,45,0.6764824484159117,0.6653473379247343,0.5671157075513876,0.5424395041256461,1.6460309527988362
rolling,6,ElasticNet,ToneMean,45,0.6764824484159117,0.6525472449827755,0.5671157075513876,0.537829641376187,3.5381854310018146
rolling,6,Lasso,NEG,45,0.6920884744856215,0.6938952977314518,0.5776437814011308,0.5763768624162254,-0.2610682466823533
